"admin_area_1","admin_area_2","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government","la Lagos State",2020,193664.449150488,185488.589785847,0.105,664049.151433334,249018.4317875,747055.2953625,830061.439291667
"ng Federal Government","la Lagos State",2021,195785.220548256,187519.829373473,0.105,671320.989157033,251745.370933887,755236.112801662,839151.236446291
"ng Federal Government","la Lagos State",2022,189883.591974153,181867.347637914,0.105,651085.104543732,244156.9142039,732470.742611699,813856.380679665
"ng Federal Government","la Lagos State",2023,179753.400884318,172164.819023308,0.105,616350.052103442,231131.269538791,693393.808616373,770437.565129303
"ng Federal Government","la Lagos State",2024,161664.859666382,154839.914961071,0.105,554326.895560633,207872.585835237,623617.757505712,692908.619450791
"ng Federal Government","na Nasarawa State",2020,174882.971801479,167500.003017114,0.105,599650.010801269,224868.754050476,674606.262151427,749562.513501586
"ng Federal Government","na Nasarawa State",2021,233456.616586314,223600.866223627,0.105,800491.101080585,300184.162905219,900552.488715658,1000613.87635073
"ng Federal Government","na Nasarawa State",2022,236417.317553342,226436.576389125,0.105,810642.943473069,303991.103802401,911973.311407202,1013303.67934134
"ng Federal Government","na Nasarawa State",2023,263774.045417884,252638.395540797,0.105,904445.456036052,339167.04601352,1017501.13804056,1130556.82004507
"ng Federal Government","na Nasarawa State",2024,275301.131726886,263678.847173378,0.105,943970.272880694,353988.85233026,1061966.55699078,1179962.84110087
"ng Federal Government","ni Niger State",2020,768156.700666039,735727.717534647,0.105,2633905.22877403,987714.460790263,2963143.38237079,3292381.53596754
"ng Federal Government","ni Niger State",2021,667087.564732723,638925.379380278,0.105,2287352.8581814,857757.321818024,2573271.96545407,2859191.07272675
"ng Federal Government","ni Niger State",2022,705561.813924371,675775.37563376,0.105,2419275.84476886,907228.441788323,2721685.32536497,3024094.80596108
"ng Federal Government","ni Niger State",2023,747699.100577151,716133.768270669,0.105,2563758.890409,961409.583903373,2884228.75171012,3204698.61301125
"ng Federal Government","ni Niger State",2024,870218.14195776,833480.469264531,0.105,2983860.07996702,1118947.52998763,3356842.5899629,3729825.09995878
"ng Federal Government","og Ogun State",2020,91647.1559420782,87778.1223562111,0.105,314245.678035236,117842.129263213,353526.38778964,392807.097544044
"ng Federal Government","og Ogun State",2021,100785.59076079,96530.7633019719,0.105,345580.13262106,129592.549732897,388777.649198692,431975.165776324
"ng Federal Government","og Ogun State",2022,101785.059981427,97488.038305637,0.105,349007.17713418,130877.691425318,392633.074275953,436258.971417725
"ng Federal Government","og Ogun State",2023,103092.239056691,98740.0326924842,0.105,353489.317039093,132558.49388966,397675.48166898,441861.646298867
"ng Federal Government","og Ogun State",2024,97030.2624628751,92933.9722893794,0.105,332703.620795978,124763.857798492,374291.573395475,415879.525994973
"ng Federal Government","on Ondo State",2020,147034.451580808,140827.153322636,0.105,504161.208895036,189060.453335638,567181.360006915,630201.511118795
"ng Federal Government","on Ondo State",2021,139001.79519924,133133.608580753,0.105,476618.318719096,178731.869519661,536195.608558983,595772.89839887
"ng Federal Government","on Ondo State",2022,135562.917021803,129839.908232671,0.105,464826.871472964,174310.076802361,522930.230407084,581033.589341204
"ng Federal Government","on Ondo State",2023,130311.173332554,124809.875435693,0.105,446819.354059782,167557.257772418,502671.773317255,558524.192574728
"ng Federal Government","on Ondo State",2024,128741.110631369,123306.095482296,0.105,441435.821826621,165538.433184983,496615.299554949,551794.777283276
"ng Federal Government","os Osun State",2020,63565.2528768471,60881.7424531294,0.105,217956.637982203,81733.7392433262,245201.217729978,272445.797477754
"ng Federal Government","os Osun State",2021,62970.5568578862,60312.1524928027,0.105,215917.505924234,80969.0647215876,242907.194164763,269896.882405292
